# Time Mag MagErr
2692.959850 0.145061 0.000696
2692.966794 0.150556 0.000700
2692.973738 0.152526 0.000703
2692.980683 0.150362 0.000703
2692.987627 0.147004 0.000704
2692.994572 0.142062 0.000703
2693.001516 0.131214 0.000701
2693.008460 0.116181 0.000696
2693.015405 0.096055 0.000689
2693.022349 0.068441 0.000679
2693.029294 0.036458 0.000667
2693.036238 -0.001741 0.000652
2693.043182 -0.036321 0.000639
2693.050127 -0.061581 0.000631
2693.057071 -0.077000 0.000626
2693.064016 -0.088463 0.000623
2693.070960 -0.098727 0.000621
2693.077904 -0.106932 0.000619
2693.084849 -0.109516 0.000620
2693.091793 -0.109133 0.000622
2693.098738 -0.110003 0.000623
2693.105682 -0.110092 0.000624
2693.112627 -0.113247 0.000625
2693.119571 -0.115424 0.000625
2693.126515 -0.119869 0.000624
2693.133460 -0.122424 0.000624
2693.140404 -0.123106 0.000626
2693.147349 -0.117938 0.000629
2693.154293 -0.111273 0.000633
2693.161237 -0.098944 0.000640
2693.168182 -0.083139 0.000648
2693.175126 -0.067026 0.000656
2693.182071 -0.048314 0.000665
2693.189015 -0.030637 0.000674
2693.195959 -0.009673 0.000685
2693.202904 0.009427 0.000695
2693.209848 0.027382 0.000704
2693.216793 0.044020 0.000714
2693.223737 0.058251 0.000722
2693.230681 0.072891 0.000730
2693.237626 0.083545 0.000736
2693.244570 0.096067 0.000744
2693.251515 0.106591 0.000750
2693.258459 0.116490 0.000756
2693.265404 0.126109 0.000762
2693.272348 0.133121 0.000767
2693.279292 0.140472 0.000771
2693.286237 0.146117 0.000775
2693.293181 0.148145 0.000777
2693.300126 0.151432 0.000780
2693.307070 0.148447 0.000779
2693.314014 0.143187 0.000778
2698.807048 -0.117440 0.000646
2698.813993 -0.116899 0.000645
2698.820937 -0.113635 0.000646
2698.827881 -0.103828 0.000650
2698.834826 -0.089522 0.000656
2698.841770 -0.073555 0.000662
2698.848715 -0.054259 0.000671
2698.855659 -0.033776 0.000680
2698.862603 -0.013426 0.000689
2698.869548 0.007331 0.000698
2698.876492 0.027075 0.000708
2698.883437 0.045749 0.000717
2698.890381 0.060289 0.000724
2698.897326 0.076366 0.000732
2698.904270 0.089247 0.000739
2698.911214 0.101189 0.000746
2698.918159 0.109126 0.000750
2698.925103 0.120621 0.000756
2698.932048 0.128161 0.000759
2698.938992 0.136639 0.000763
2698.945936 0.142303 0.000767
2698.952881 0.145093 0.000768
2698.959825 0.148223 0.000770
2698.966770 0.147453 0.000770
2698.973714 0.145676 0.000769
2698.980658 0.135977 0.000763
2698.987603 0.124102 0.000757
2698.994547 0.107173 0.000748
2699.001492 0.083840 0.000736
2699.008436 0.055629 0.000721
2699.015380 0.023502 0.000705
2699.022325 -0.010400 0.000689
2699.029269 -0.042630 0.000673
2699.036214 -0.064822 0.000662
2699.043158 -0.079158 0.000655
2699.050102 -0.090895 0.000649
2699.057047 -0.102622 0.000644
2699.063991 -0.110800 0.000639
2699.070936 -0.118709 0.000635
2699.077880 -0.123989 0.000631
2699.084825 -0.127023 0.000629
2699.091769 -0.127503 0.000628
2699.098713 -0.127384 0.000627
2699.105658 -0.123368 0.000628
2699.112602 -0.119648 0.000629
2699.119547 -0.113529 0.000630
2699.126491 -0.105253 0.000633
2699.133435 -0.094127 0.000637
2699.140380 -0.082552 0.000641
2699.147324 -0.068591 0.000646
2699.154269 -0.055059 0.000651
2699.161213 -0.039438 0.000657
2699.168157 -0.023695 0.000664
2699.175102 -0.008502 0.000670
2699.182046 0.006754 0.000676
2699.188991 0.020746 0.000682
2699.195935 0.033090 0.000687
2699.202879 0.046280 0.000693
2699.209824 0.058592 0.000699
2699.216768 0.071016 0.000704
2699.223713 0.082519 0.000709
2699.230657 0.093406 0.000714
2699.237601 0.102242 0.000718
2699.244546 0.111502 0.000723
2699.251490 0.117465 0.000726
2699.258435 0.125446 0.000729
2699.265379 0.131301 0.000732
2699.272323 0.135544 0.000734
2699.279268 0.135987 0.000734
2699.286212 0.136114 0.000733
2699.293157 0.132661 0.000732
2699.300101 0.126455 0.000728
2699.307046 0.113947 0.000722
2699.313990 0.097682 0.000713
2699.320934 0.076175 0.000702
2699.327879 0.051857 0.000690
2699.334823 0.025824 0.000678
2699.341768 0.000892 0.000666
2699.348712 -0.021514 0.000656
2699.355656 -0.041362 0.000647
2699.362601 -0.056258 0.000640
2699.369545 -0.071985 0.000632
2699.376490 -0.089044 0.000624
2699.383434 -0.108631 0.000616
2699.390378 -0.124860 0.000609
2699.397323 -0.134287 0.000604
2699.404267 -0.140425 0.000601
2699.411212 -0.143309 0.000599
2699.418156 -0.144200 0.000599
2699.425100 -0.141965 0.000599
2699.432045 -0.138177 0.000600
2699.438989 -0.131367 0.000602
2699.445934 -0.120899 0.000606
2699.452878 -0.107687 0.000610
2699.459822 -0.093508 0.000616
2699.466767 -0.074964 0.000623
2699.473711 -0.057361 0.000630
2699.480656 -0.037244 0.000638
