# Time Mag MagErr
3533.787044 -0.038017 0.000534
3533.789359 -0.032585 0.000535
3533.791673 -0.027034 0.000537
3533.793988 -0.020410 0.000539
3533.796303 -0.014367 0.000541
3533.798618 -0.007730 0.000542
3533.800933 -0.000590 0.000545
3533.803248 0.005324 0.000546
3533.805563 0.011444 0.000548
3533.807878 0.018374 0.000550
3533.810193 0.024971 0.000552
3533.812507 0.032165 0.000554
3533.814822 0.037701 0.000556
3533.817137 0.045622 0.000558
3533.819452 0.052456 0.000560
3533.821767 0.059556 0.000562
3533.824082 0.066220 0.000564
3533.826397 0.073825 0.000567
3533.828712 0.080146 0.000569
3533.831027 0.088076 0.000571
3533.833342 0.092707 0.000573
3533.835656 0.100511 0.000575
3533.837971 0.106158 0.000577
3533.840286 0.112543 0.000579
3533.842601 0.118692 0.000581
3533.844916 0.124080 0.000582
3533.847231 0.129638 0.000584
3533.849546 0.135310 0.000586
3533.851861 0.139222 0.000587
3533.854176 0.143691 0.000588
3533.856490 0.148065 0.000590
3533.858805 0.152664 0.000592
3533.861120 0.156211 0.000593
3533.863435 0.158749 0.000594
3533.865750 0.159393 0.000594
3533.868065 0.161919 0.000595
3533.870380 0.162863 0.000595
3533.872695 0.164946 0.000596
3533.875010 0.165186 0.000595
3533.877324 0.165560 0.000596
3533.879639 0.163959 0.000595
3533.881954 0.164404 0.000595
3533.884269 0.162226 0.000595
3533.886584 0.161166 0.000594
3533.888899 0.158622 0.000594
3533.891214 0.156590 0.000593
3533.893529 0.153430 0.000592
3533.895844 0.148987 0.000590
3533.898158 0.145251 0.000589
3533.900473 0.141994 0.000588
3533.902788 0.137050 0.000587
3533.905103 0.130426 0.000585
3533.907418 0.125869 0.000583
3533.909733 0.118258 0.000581
3533.912048 0.110661 0.000578
3533.914363 0.101773 0.000575
3533.916678 0.091120 0.000572
3533.918993 0.079402 0.000569
3533.921307 0.067638 0.000565
3533.923622 0.053575 0.000561
3533.925937 0.038371 0.000556
3533.928252 0.021769 0.000551
3533.930567 0.003657 0.000546
3533.932882 -0.016301 0.000540
3533.935197 -0.035503 0.000535
3533.937512 -0.054463 0.000529
3533.939827 -0.073645 0.000524
3533.942141 -0.090059 0.000519
3533.944456 -0.106078 0.000515
3533.946771 -0.118955 0.000511
3533.949086 -0.127167 0.000509
3533.951401 -0.133348 0.000507
3533.953716 -0.137263 0.000506
3533.956031 -0.137407 0.000506
3533.958346 -0.135975 0.000507
3533.960661 -0.134091 0.000507
3533.962975 -0.133467 0.000508
3533.965290 -0.135663 0.000507
3533.967605 -0.138198 0.000506
3533.969920 -0.143252 0.000505
3533.972235 -0.149251 0.000503
3533.974550 -0.154823 0.000502
3533.976865 -0.159417 0.000501
3533.979180 -0.161605 0.000500
3533.981495 -0.163347 0.000499
3533.983809 -0.164533 0.000499
3533.986124 -0.163746 0.000499
3533.988439 -0.161699 0.000500
3533.990754 -0.159043 0.000500
3533.993069 -0.155314 0.000502
3533.995384 -0.151990 0.000502
3533.997699 -0.149753 0.000503
3534.000014 -0.145043 0.000504
3534.002329 -0.140977 0.000505
3534.004644 -0.136428 0.000507
3534.006958 -0.130357 0.000508
3534.009273 -0.125630 0.000510
3534.011588 -0.120082 0.000511
3534.013903 -0.113561 0.000513
3534.016218 -0.109405 0.000514
3534.018533 -0.103119 0.000516
3534.020848 -0.096741 0.000517
3534.023163 -0.092826 0.000518
3534.025478 -0.085192 0.000521
3534.027792 -0.080043 0.000522
3534.030107 -0.073548 0.000524
3534.032422 -0.068332 0.000525
3534.034737 -0.062168 0.000527
3534.037052 -0.056102 0.000529
3534.039367 -0.049530 0.000531
3534.041682 -0.044170 0.000532
3534.043997 -0.038616 0.000534
3534.046312 -0.031741 0.000536
3534.048626 -0.025760 0.000537
3534.050941 -0.020619 0.000539
3534.053256 -0.013078 0.000541
3534.055571 -0.007229 0.000543
3534.057886 -0.000045 0.000545
3534.060201 0.006081 0.000547
3534.062516 0.013279 0.000549
3534.064831 0.019652 0.000551
3534.067146 0.027008 0.000553
3534.069460 0.032864 0.000554
3534.071775 0.040023 0.000557
3534.074090 0.047488 0.000559
3534.076405 0.053629 0.000561
3534.078720 0.061130 0.000563
3534.081035 0.067992 0.000565
3534.083350 0.075184 0.000567
3534.085665 0.082533 0.000569
3534.087980 0.089629 0.000572
3534.090294 0.096357 0.000574
3534.092609 0.102024 0.000575
3534.094924 0.109135 0.000578
3534.097239 0.115235 0.000580
3534.099554 0.121331 0.000582
3534.101869 0.127389 0.000584
3534.104184 0.132467 0.000585
3534.106499 0.137066 0.000587
3534.108814 0.142339 0.000588
3534.111128 0.145534 0.000589
3534.113443 0.151190 0.000591
3534.115758 0.153595 0.000592
3534.118073 0.156628 0.000593
3534.120388 0.158550 0.000594
3534.122703 0.160350 0.000594
3534.125018 0.161797 0.000595
3534.127333 0.163931 0.000595
3534.129648 0.164596 0.000595
3534.131963 0.165376 0.000596
3534.134277 0.164091 0.000595
3534.136592 0.163293 0.000595
3534.138907 0.163590 0.000595
3534.141222 0.161212 0.000594
3534.143537 0.159394 0.000594
3534.145852 0.157276 0.000593
3534.148167 0.154569 0.000592
3534.150482 0.152734 0.000591
3534.152797 0.149491 0.000590
3534.155111 0.144922 0.000589
3534.157426 0.140987 0.000588
3534.159741 0.135105 0.000586
3534.162056 0.129184 0.000584
3534.164371 0.122506 0.000582
3534.166686 0.114778 0.000579
3534.169001 0.106108 0.000577
3534.171316 0.096947 0.000574
3534.173631 0.086754 0.000571
3534.175945 0.073158 0.000567
3534.178260 0.059643 0.000563
3534.180575 0.044834 0.000558
